,number,author,life,title,width,height,image_url,wall,position,image_path
521,353 ,Géricault jean louis andré théodore, (1791-18241. ,cheval,54.5,65.5,https://upload.wikimedia.org/wikipedia/commons/f/fc/Gericault_tete.jpg,,E F XIXe S 1er étage I,data/images_paintings/521.jpg
522,354 ,Géricault jean louis andré théodore, (1791-18241. ,intérieur d'écurie,,,,,E F XIXe S 1er étage II,
523,355 b ,Géricault jean louis andré théodore, (1791-18241. ,portrait présumé du peintre par lui même,,,,,E F XIXe S 1er étage III,
524,356 ,Géricault jean louis andré théodore, (1791-1821) ,la justice et la vengeance divine poursuivant le crime d'après prud'hon,,,,,E F XIXe S 1er étage II,
525,S N ,Géricault jean louis andré théodore, (1791-1821) ,portrait du peintre a colin,,,,,E F XIXe S 1er étage I,
526,S N ,Géricault jean louis andré théodore, (1791-1821) ,première esquisse du radeau de la méduse,,,,,E F XIXe S 1er étage II,
527,S No ,Gérôme léon, (1824-1904). ,un combat de coqs,204.0,143.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Jean-L%C3%A9on_G%C3%A9r%C3%B4me_-_Young_Greeks_Attending_a_Cock_Fight_-_Google_Art_Project.jpg/1200px-Jean-L%C3%A9on_G%C3%A9r%C3%B4me_-_Young_Greeks_Attending_a_Cock_Fight_-_Google_Art_Project.jpg,,Marine,data/images_paintings/527.jpg
528, ,Gérôme léon, (1824-1904). ,voir clouet d'après 2944 gigoux jean françois 1809 1895 — portrait du général polonais dwernicki,,,,,E F XIXe S 1er étage II,
529,2945 ,Gérôme léon, (1824-1904). ,portrait de charles fourier,,,,,Marine,
530,361 ,Girodet de roucy trioson anne louis, (1707-1824). ,le sommeil d'endymion,261.0,198.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Anne-louis_girodet_de_roussy-trioson%2C_endimione%2C_effetto_di_luna%2C_1791%2C_01.jpg/1200px-Anne-louis_girodet_de_roussy-trioson%2C_endimione%2C_effetto_di_luna%2C_1791%2C_01.jpg,O,I,data/images_paintings/530.jpg
531,362 a ,Girodet de roucy trioson anne louis, (1767-1824). ,portrait du baron dominique jean larrey 1766842,,,,E,II,
532,S No ,Girodet de roucy trioson anne louis, (1767-1824). ,etude pour le sommeil d'endymion,,,,,Coll Schlichting,
533,363 ,Gleyre charles, (1807-1874). ,les illusions perdues ou le soir,,,,,E F XIXe S 1er étage I,
534,365 ,Gourmont jean de, (vivait en 1557). ,la nativité,,,,,XI,
535,366 ,Granet françois marius, (177^-1849). ,vue intérieure du colisée à rome,160.0,125.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001343/08-522317.jpg,,E F XIXe S 1er étage I,data/images_paintings/535.jpg
536,367 ,Granet françois marius, (177^-1849). ,le peintre sodoma porté à l'hôpital,100.0,75.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001344/01-017592.jpg,,Marine,data/images_paintings/536.jpg
537,367 a ,Granger jean pierre, (1779-1840). ,portrait de madame granger,,,,O,VIII,
538,368 ,Greuze jean baptiste," (172=,-180=,). ",l'empereur sévère reproche à caracalla son fils d'avoir voulu l'assassiner,,,,E,XV,
539,369 ,Greuze jean baptiste," (172=,-180=,). ",l'accordée de village,117.0,92.0,https://upload.wikimedia.org/wikipedia/commons/8/8b/Jean-Baptiste_Greuze_-_L%27Accord%C3%A9e_de_Village_-_WGA10655.jpg,E,XVI,data/images_paintings/539.jpg
540,370 ,Greuze jean baptiste," (172=,-180=,). ",la malédiction paternelle,162.0,130.0,https://upload.wikimedia.org/wikipedia/commons/0/08/La_malediction_paternelle.jpg,S,XVI,data/images_paintings/540.jpg
541,371 ,Greuze jean baptiste," (172=,-180=,). ",le fils puni '',,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Jean-Baptiste_Greuze%2C_Study_for_Le_fils_puni%2C_Red_chalk_on_paper%2C_San_Antonio_Museum_of_Art.jpg,S,XVI,data/images_paintings/541.jpg
542,372 ,Greuze jean baptiste," (172=,-180=,). ",la cruche cassée,85.0,110.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jean-Baptiste_Greuze_001.jpg/1200px-Jean-Baptiste_Greuze_001.jpg,S,XVI,data/images_paintings/542.jpg
543,372 a ,Greuze jean baptiste," (172=,-180=,). ",la laitière,86.0,106.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/J-B_Greuze_la_laiti%C3%A8re_07244.jpg/1200px-J-B_Greuze_la_laiti%C3%A8re_07244.jpg,N,XVI,data/images_paintings/543.jpg
544,372 c ,Greuze jean baptiste," (172=,-180=,). ",l'oiseau mort,55.0,68.0,https://upload.wikimedia.org/wikipedia/commons/9/9f/Jean-Baptiste_Greuze_-_The_Dead_Bird_-_WGA10679.jpg,N,XVI,data/images_paintings/544.jpg
545,372 d ,Greuze jean baptiste," (172=,-180=,). ",l'enfant à la poupée,,,,S,XVI,
546,372 e ,Greuze jean baptiste," (172=,-180=,). ",l'effroi,,,https://upload.wikimedia.org/wikipedia/commons/e/e5/Jean-Baptiste_Greuze_-_Fear%2C_Expression_Head_-_WGA10675.jpg,S,XVI,data/images_paintings/546.jpg
547,373 ,Greuze jean baptiste," (172=,-180=,). ",portrait du peintre etienne jeaurat,,,,E,XVI,
548,373 a ,Greuze jean baptiste," (172=,-180=,). ",portrait d'homme ,54.8,64.7,,E,XVI,
549,373 b ,Greuze jean baptiste," (172=,-180=,). ",portrait du médecin duval,,,,,IVe S Meubles XVIIIe,
550,374 ,Greuze jean baptiste, (1725-1805). ,tête de jeune fille étude,,,,N,XVI,
551,375 ,Greuze jean baptiste, (1725-1805). ,tête de jeune fille étude,,,,N,XVI,
552,376 ,Greuze jean baptiste, (1725-1805). ,tête de jeune fine,,,,E,I,
553,377 ,Greuze jean baptiste, (1725-1805). ,danaë 1 0 ■ 379,,,,E,Musée Charles X S III,
554,381 ,Greuze jean baptiste, (1725-1805). ,son portrait par lui même,,,,E,XVI,
555,S N ,Greuze jean baptiste, (1725-1805). ,l'innocence enchaînée par les amours et suivie du repentir ,,,,,Coll Schlichting,
556,384 ,Grimou alexis, ( 1678-1733). ,son portrait par lui même,,,,S,XVI,
557,385 ,Grimou alexis, ( 1678-1733). ,un buveur,85.0,100.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001368/62698.jpg,S,XVI,data/images_paintings/557.jpg
558,388 ,Gros antoine jean, (1771-1835). ,le général en chef bonaparte visite les pestiférés de jaffa 111 0 389,,,,E,Musée Charles X S III,
559,390 ,Gros antoine jean, (1771-1835). ,— françois ier et charles quint visitant les tomt beaux de l'église de saint denis,,,,,S des dessins XIXe,
560,391 ,Gros antoine jean, (1771-1835). ,bonaparte à arcole,,,,E,III,
561,391 a ,Gros antoine jean, (1771-1835). ,portrait de christine boyer première femme du prince lucien bonaparte,,,,S,III,
562,392 ,Gros antoine jean, (1771-1835). ,portrait du comte alcide de la rivallière élève,,,,E,Musée Charles X S III,
563, ,Gros antoine jean, (1771-1835). ,plafond le génie de la france anime les arts protège l'humanité — voussures enfants tenant l'écu royal ou des guirlandes et couronnes de laurier,,,,,Musée Charles X S I,
564, ,Gros antoine jean, (1771-1835). ,plafond  la véritable gloire s'appuie sur la vertu mars écoutant la modération le temps élève la vérité six compartiments bustes de périclès auguste léon x françois 1er louis xiv charles x —,,,,,V,
565,S o ,S  gudin théodore, (1802-1879). ,marine naufrage 389,,,,,Musée Charles X S III,
566,393 ,Guérin pierre narcisse, (1774-1833). ,le  retour de marcus sextus,243.0,217.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/The_Return_of_Marcus_Sextus_1799_Pierre-Narcisse_Gu%C3%A9rin.jpg/1200px-The_Return_of_Marcus_Sextus_1799_Pierre-Narcisse_Gu%C3%A9rin.jpg,N,Musée Charles X S III,data/images_paintings/566.jpg
567,395 ,Guérin pierre narcisse, (1774-1833). ,phèdre et hippolyte,46.0,33.0,https://upload.wikimedia.org/wikipedia/commons/b/b6/Ph%C3%A8dre_et_Hippolyte_par_Pierre-Narcisse_Gu%C3%A9rin%2C_1802_-_Mus%C3%A9e_du_Louvre.jpg,E,II,data/images_paintings/567.jpg
568,396 ,Guérin pierre narcisse, (1774-1833). ,andromaque et pyrrhus,457.0,342.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Gu%C3%A9rin_Andromaque_et_Pyrrhus.JPG/1200px-Gu%C3%A9rin_Andromaque_et_Pyrrhus.JPG,N,II,data/images_paintings/568.jpg
569,397 ,Guérin pierre narcisse, (1774-1833). ,enée racontant à didon les malheurs de la ville de troie,390.0,292.0,https://upload.wikimedia.org/wikipedia/commons/8/82/Pierre-Narcisse_Gu%C3%A9rin_-_Dido_and_Aeneas_-_WGA10972.jpg,N,II,data/images_paintings/569.jpg
570,397 a ,Guérin pierre narcisse, (1774-1833). ,enée et didon première pensée du tableau précédent,,,,O,I,
571,398 ,Guérin pierre narcisse, (1774-1833). ,clytemnestre conseillée par egisthe s'apprête à frapper agamemlion,,,,E,III,
572,399 ,Guérin pierre narcisse, (1774-1833). ,l'aurore et céphale,186.0,254.5,https://upload.wikimedia.org/wikipedia/commons/f/fc/Gu%C3%A9rin-amouretomphale.jpg,N,III,data/images_paintings/572.jpg
573, ,Guérin pierre narcisse, (1774-1833). ,deux génies de l'immortalité médaillon du plafond,,,,,S des Antonins,
574, ,Guiard mme, (1749-1803). ,portrait de pajou sculpteur pastel,,,,,S des Pastels,
575,S No ,Guiard mme, (1749-1803). ,portrait de mme victoire pastel,,,,,S des Pastels,
576,400 a ,Guiard mme, (1749-1803). ,portrait du peintre vincent,,,,O,I,
577, ,Guichard joseph benoit, (1806-1880). ,le triomphe de la terre d'après le brun voûte,,,,,Galerie d'Apollon,
578,S N ,Guigou paul camille, (1834-1871). ,route de la gineste près de marseille,,,,,E F XIXe S 2e étage II,
579,S N ,Guigou paul camille, (1834-1871). ,la lavandière,,,,,E F XIXe S 2e étage II,
580,402 ,Halle noël, ( 1711-1781). ,l'automne,,,,S,XVI,
581,403 ,Halle noël, ( 1711-1781). ,les génies de la poésie de l'histoire de la physique et de l'astronomie,,,,S,XVI,
582,404 ,Halle noël, ( 1711-1781). ,libéralité de cimon l'athénien,322.0,322.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001422/94de15021.jpg,S,XVI,data/images_paintings/582.jpg
583,405 ,Halle noël, ( 1711-1781). ,dispute de minerve et de neptune,197.5,156.5,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001421/90ee2151.jpg,,V,data/images_paintings/583.jpg
584,406 ,Hamon jean louis, (1821-1874). ,la comédie humaine,,,,,S des dessins XIXe,
585,S N ,Hébert ernest, (1817-1908). ,le baiser de judas,186.0,255.0,,,Marine,
586,S Nu ,Hébert ernest, (1817-1908). ,les cervarolles,176.0,288.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Ernest_h%C3%A9bert%2C_le_cervarole_%28le_donne_di_Cervara_di_Roma%2C_stati_romani%29%2C_1859_circa.JPG/1200px-Ernest_h%C3%A9bert%2C_le_cervarole_%28le_donne_di_Cervara_di_Roma%2C_stati_romani%29%2C_1859_circa.JPG,N,VIII,data/images_paintings/586.jpg
587,S No ,Hébert ernest, (1817-1908). ,la malaria campagne romaine,,,,,E F XIXe S 1er étage III,
588,S N ,Hébert ernest, (1817-1908). ,portrait de mme m'ey isabey,,,,,S Isabey,
589,408 ,Heim françois joseph, (1787-1865). ,sujet tiré de l'«histoire des juifs» par josèphe,,,,E,VIII,data/images_paintings/589.jpg
590, ,Hennequin philippe auguste, (1763-1833). ,l'hercule français plafond,,,,,S des Antonins,
591,64,Henner jean jacques, (1829-1905). ,la liseuse,123.0,94.0,https://upload.wikimedia.org/wikipedia/commons/5/5f/Jean_Jacques_Henner_-_La_liseuse.jpg,,Musée Charles X S III,data/images_paintings/591.jpg
592,410 ,Hilair jean baptiste, (travaillait entre 1781 et 1822) ,la lecture,118.0,136.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001473/98de12133.jpg,N,XVI,data/images_paintings/592.jpg
593,410 c ,Hue jean françois, (1751-1823). ,marine effet de clair de tune,,,,,Marine,
594,410 h ,Hue jean françois, (1751-1823). ,vue de la ville de la rade et du port de st malo prise de st servan ,,,,,Marine,
595,411 ,Huet jean baptiste, (1745-1811). ,un dogue se jetant sur des oies sauvages et leurs petits,,,,,IVe S Meubles XVIIIe,
596,412 ,Huet paul, (1803-1869).—L'inondation ,de saint cloud,300.0,203.5,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Paul_Huet_-_L%27inondation_de_Saint-Cloud.JPG/1200px-Paul_Huet_-_L%27inondation_de_Saint-Cloud.JPG,N,VIII,data/images_paintings/596.jpg
597,412 a ,Huet paul, (1803-1869).—L'inondation ,coucher de soleil à seine port,,,,,E F XIXe S 2e étage I,
598,413 ,Huet paul, (1803-1869).—L'inondation ,calme du matin intérieur de forêt,86.0,58.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001498/91ee1911.jpg,,E F XIXe S 2e étage I,data/images_paintings/598.jpg
599,414 ,Huet paul, (1803-1869).—L'inondation ,fraîcheur des bois fourré de la forêt,102.0,67.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001497/93de1583.jpg,,E F XIXe S 2e étage I,data/images_paintings/599.jpg
600,2946 ,Huet paul, (1803-1869).—L'inondation ,les chasseurs forêt de fontainebleau,125.0,87.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001500/98de3250.jpg,,E F XIXe S 1er étage III,data/images_paintings/600.jpg
601,2947 ,Huet paul, (1803-1869).—L'inondation ,grande marée d'équinoxe aux environs de honfleur,164.5,101.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001490/98de3244.jpg,,E F XIXe S 2e étage I,data/images_paintings/601.jpg
602,2948 ,Huet paul, (1803-1869).—L'inondation ,le parc de saint cloud un jour de fête,46.0,36.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001493/80ee1132.jpg,,E F XIXe S 2e étage II,data/images_paintings/602.jpg
603,2949 ,Huet paul, (1803-1869). ,la ferme,27.0,21.8,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001496/93de1581.jpg,,E F XIXe S 2e étage II,data/images_paintings/603.jpg
604,2950 ,Huet paul, (1803-1869). ,chaumière normande vieux trouvillei,,,,,E F XIXe S 2e étage II,
605,2951 ,Huet paul, (1803-1869). ,cheval normand,27.0,21.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001494/93de1579.jpg,,E F XIXe S 2e étage II,data/images_paintings/605.jpg
606,2952 a ,Huet paul, (1803-1869). ,brisants à la pointe de granville,103.0,68.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001501/98de3242.jpg,,E F XIXe S 2e étage II,data/images_paintings/606.jpg
607,S N ,Huet paul, (1803-1869). ,l'inondation de saint cloud carton,,,,,Esc T T,
608,415 ,Ingres jean auguste dominique, (1780-1*671. ,jésus christ donne à saint pierre les clés du paradis,,,,S,VIII,
609,416 ,Ingres jean auguste dominique, (1780-1*671. ,la vierge à l'hostie,,,https://upload.wikimedia.org/wikipedia/commons/8/84/Ingres_the_virgin_of_the_host.jpg,,E F XIXe S 1er étage I,data/images_paintings/609.jpg
610,419 ,Ingres jean auguste dominique, (1780-1867). ,roger délivrant angélique,190.0,147.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Jean_Auguste_Dominique_Ingres_-_Roger_Delivering_Angelica.jpg/1200px-Jean_Auguste_Dominique_Ingres_-_Roger_Delivering_Angelica.jpg,E,VIII,data/images_paintings/610.jpg
611,420 ,Ingres jean auguste dominique, (1780-1867). ,jeanne d'arc assistant au sacre de charles vii dans la cathédrale de reims,,,,S,VIII,
612,421 ,Ingres jean auguste dominique, (1780-1867). ,cedipe expliquant l'énigme,,,,,V,data/images_paintings/612.jpg
613,422 ,Ingres jean auguste dominique, (1780-1867). ,la source,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Jean_Auguste_Dominique_Ingres_-_The_Spring_-_Google_Art_Project_2.jpg/1200px-Jean_Auguste_Dominique_Ingres_-_The_Spring_-_Google_Art_Project_2.jpg,,V,data/images_paintings/613.jpg
614,422 b ,Ingres jean auguste dominique, (1780-1867). ,odalisque couchée,,,,S,VIII,
615,423 ,Ingres jean auguste dominique, (1780-1867). ,la baigneuse,27.0,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/La_petite_baigneuse_-_Ingres_%28Louvre%2C_RF_1728%29.jpg/1200px-La_petite_baigneuse_-_Ingres_%28Louvre%2C_RF_1728%29.jpg,E,VIII,data/images_paintings/615.jpg
616,424 ,Ingres jean auguste dominique, (1780-1867). ,la chapelle sixtine,,,,,E F XIXe S 1er étage III,
617,425 ,Ingres jean auguste dominique, (1780-1867). ,portrait de m cordier,,,,S,VIII,
618,426 ,Ingres jean auguste dominique, (1780-1867). ,portrait de m philibert rivière maître des requêtes ,,,,O,VIII,
619,427 ,Ingres jean auguste dominique, (1780-1867). ,portrait de mme rivière marie françoise beauregard femme de m philibert rivière,,,,O,VIII,
620,428 ,Ingres jean auguste dominique, (1780-1867). ,portrait de melle rivière morte à l'âge de 15 ans,,,,S,VIII,
621,428 a ,Ingres jean auguste dominique, (1780-1867). ,portrait de m bochet ami du peintre,,,,S,VIII,
622,428 b ,Ingres jean auguste dominique, (1780-1867). ,portrait de m bertin aîné,,,,E,VIII,
623,428 c ,Ingres jean auguste dominique, (1780-1867). ,vénus anadyomènc réduction peinte attribué,,,,,E F XIXe S 1er étage II,
624,428 d ,Ingres jean auguste dominique, (1780-1867). ,la source réduction peinte attribué,,,,,E F XIXe S 1er étage II,
625,S o ,Ingres jean auguste dominique, (1780-1867). ,la petite baigneuse intérieur de harem,27.0,35.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/La_petite_baigneuse_-_Ingres_%28Louvre%2C_RF_1728%29.jpg/1200px-La_petite_baigneuse_-_Ingres_%28Louvre%2C_RF_1728%29.jpg,,E F XIXe S 1er étage II,data/images_paintings/625.jpg
626,S o ,Ingres jean auguste dominique, (1780-1867). ,le bain turc rcproduit,,,,N,VIII,
627,2878 ,Isabey eugène, (1804-1886). ,un mariage dans l'église de delft,,,,,T T,
628,2879 ,Isabey eugène, (1804-1886). ,un baptême à l'église du tréport,,,,,T T,
629,2880 ,Isabey eugène, (1804-1886). ,seigneurs sur la plage de scheveningue,99.0,57.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001575/12-533249.jpg,,T T,data/images_paintings/629.jpg
630,2881 ,Isabey eugène, (1804-1886). ,le duel,,,,,T T,
631,2882 ,Isabey eugène, (1804-1886). ,la visite au château,,,,,T T,
632,2883 ,Isabey eugène, (1804-1886). ,la procession,,,,,T T,
633,2884 ,Isabey eugène, (1804-1886). ,louis xiii au château de blois,90.0,60.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001574/12-568855.jpg,,T T,data/images_paintings/633.jpg
634,2953 ,Isabey eugène, (1804-1886). ,embarquement de ruyter et de william de witt,,,,,Esc T T,
635,2953 a ,Isabey eugène, (1804-1886). ,marée basse,168.0,124.0,https://upload.wikimedia.org/wikipedia/commons/2/24/Eugene_Isabey_-_Beach_at_Low_Tide.jpg,,Esc T T,data/images_paintings/635.jpg
636,2954 ,Isabey eugène, (1804-1886). ,le pont,40.0,27.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001572/18-514485.jpg,,E F XIXe S 2e étage I,data/images_paintings/636.jpg
637,2955 ,Isabey eugène, (1804-1886). ,marine,37.47,23.5,,,E F XIXe S 2e étage I,
638,65,Isabey eugène, (1804-1886). ,arrivée du duc d'albe à rotterdam,93.5,42.5,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Eug%C3%A8ne_isabey%2C_arrivo_del_duca_d%27alba_a_rotterdam%2C_1844.JPG/1200px-Eug%C3%A8ne_isabey%2C_arrivo_del_duca_d%27alba_a_rotterdam%2C_1844.JPG,,Coll Chauchard IV,data/images_paintings/638.jpg
639,66,Isabey eugène, (1804-1886). ,le déjeuner de la reine,78.7,90.0,,,Coll Chauchard galerie,
640,67,Isabey eugène, (1804-1886). ,l'emprisonnement,67.0,51.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/M5009000776/00-016432.jpg,,Coll Chauchard I,data/images_paintings/640.jpg
641,68,Isabey eugène, (1804-1886). ,la sortie de l'église,35.5,48.5,,,Coll Chauchard galerie,
642,69,Isabey eugène, (1804-1886). ,le mariage royal,,,,,Coll Chauchard galerie,
643,S N ,Isabey jean baptiste, (1767-1855). ,vue du grand escalier du,,,,,Musée Charles X S III,
644,430 ,Jacobber jacob ber, (1786-1863). ,fleurs etfruits ,,,,,S des dessins XIXe,
645,71,Jacque charles, (1813-189.1). ,la petite bergerie paysanne arrangeant les râteliers,67.0,47.0,,,Coll Chauchard galerie,
646,72,Jacque charles, (1813-189.1). ,la grande bergerie,156.5,100.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001581/07-507906.jpg,,Coll Chauchard I,data/images_paintings/646.jpg
647,430 a ,Jacque charles, (1813-189.1). ,troupeau de moutons dans un paysage,280.0,176.0,https://s3.eu-west-3.amazonaws.com/pop-phototeque/joconde/000PE001583/08-524463.jpg,,E F XIXe S 2e étage I,data/images_paintings/647.jpg
648,433 ,Jouvenet jean, (1614-1717). ,la pêche miraculeuse,664.0,392.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Jouvenet_-_La_P%C3%AAche_miraculeuse_01.jpg/1200px-Jouvenet_-_La_P%C3%AAche_miraculeuse_01.jpg,N,XIV,data/images_paintings/648.jpg
